Policy Number,Insured Amount,Start Date,End Date,Latitude,Longitude,Country,ISO3
24,470,14/06/2017,02/12/2017,34.44152692,70.43610347,Afghanistan,AFG
25,4081,02/02/2017,21/04/2017,35.01826174,69.16791215,Afghanistan,AFG
26,266,03/09/2016,05/05/2017,33.60005373,69.21462764,Afghanistan,AFG
27,4741,03/11/2016,09/10/2017,34.82106447,67.52103593,Afghanistan,AFG
28,2995,09/10/2016,04/01/2017,36.13933026,68.69925858,Afghanistan,AFG
29,2315,14/02/2017,15/06/2017,32.39172955,62.09681921,Afghanistan,AFG
30,4385,10/01/2017,23/09/2017,34.33000917,62.16999304,Afghanistan,AFG
31,337,18/03/2017,23/06/2017,36.69999371,67.10002803,Afghanistan,AFG
32,4991,03/12/2016,23/07/2017,31.61002016,65.69494584,Afghanistan,AFG
33,2499,07/11/2016,25/07/2017,34.51669029,69.18326005,Afghanistan,AFG
34,527,13/08/2016,14/01/2017,60.09699618,19.94900447,Aland,ALD
35,3600,28/08/2016,28/08/2017,41.51899817,19.79700359,Albania,ALB
36,1174,28/11/2016,09/11/2017,40.73000402,19.5730026,Albania,ALB
37,4200,06/08/2016,24/12/2016,40.94000113,19.71600348,Albania,ALB
38,2246,06/03/2017,20/06/2017,42.03330302,19.88330448,Albania,ALB
39,3094,02/12/2016,29/05/2017,42.33330007,20.08330257,Albania,ALB
40,369,10/06/2017,20/02/2018,42.08300107,20.43399653,Albania,ALB
41,1639,01/12/2016,02/11/2017,39.87700212,19.99999859,Albania,ALB
42,3110,02/12/2016,23/04/2017,40.33330213,20.68329651,Albania,ALB
43,419,15/10/2016,26/08/2017,40.89999612,20.66400062,Albania,ALB
44,677,23/05/2017,05/03/2018,40.61667601,20.76666353,Albania,ALB
45,2712,20/04/2017,24/07/2017,40.70999705,19.97199958,Albania,ALB
46,1472,05/06/2017,29/10/2017,40.51670403,20.23329663,Albania,ALB
47,2679,21/07/2017,20/11/2017,40.86669601,20.19999652,Albania,ALB
48,3709,24/07/2016,22/02/2017,41.20000211,20.3667036,Albania,ALB
49,659,28/04/2017,09/10/2017,40.2832981,20.03329854,Albania,ALB
50,2246,13/12/2016,18/09/2017,40.23399605,20.35199756,Albania,ALB
51,3684,24/12/2016,18/07/2017,40.07899809,20.14900256,Albania,ALB
52,3693,05/05/2017,09/08/2017,41.6833021,20.43330349,Albania,ALB
53,2203,14/10/2016,26/01/2017,41.62599908,20.01600053,Albania,ALB
54,2374,17/10/2016,26/08/2017,41.78799914,19.65400254,Albania,ALB
55,974,13/06/2017,04/11/2017,41.78330106,19.81670459,Albania,ALB
56,3843,12/06/2017,24/10/2017,40.47736005,19.49823075,Albania,ALB
57,2916,14/12/2016,22/04/2017,41.12150677,20.08382808,Albania,ALB
58,288,21/11/2016,07/11/2017,41.3177997,19.44820797,Albania,ALB
59,1559,05/12/2016,18/03/2017,42.06845156,19.51884965,Albania,ALB
60,3828,13/10/2016,24/03/2017,41.32754071,19.81888301,Albania,ALB
61,3204,15/05/2017,20/02/2018,36.82199703,5.76600356,Algeria,DZA
62,2658,11/04/2017,04/08/2017,36.80000111,4.033332556,Algeria,DZA
63,3345,14/03/2017,21/12/2017,36.05900401,4.629996466,Algeria,DZA
64,4558,31/07/2016,01/11/2016,35.7000031,4.545000584,Algeria,DZA
65,4586,07/04/2017,17/09/2017,36.46600213,7.427997486,Algeria,DZA
66,2190,10/08/2016,04/05/2017,35.84999715,7.149996522,Algeria,DZA
67,2591,15/04/2017,23/01/2018,29.23652163,0.269998737,Algeria,DZA
68,3801,16/04/2017,22/11/2017,35.19034426,-0.639971559,Algeria,DZA
69,720,20/06/2017,01/05/2018,34.89041424,-1.32000757,Algeria,DZA
70,2763,08/04/2017,31/10/2017,32.04926984,-1.251381268,Algeria,DZA
71,2347,30/06/2017,25/04/2018,31.01708478,-2.733306317,Algeria,DZA
72,4505,22/08/2016,29/05/2017,32.76041506,-0.579949383,Algeria,DZA
73,3990,13/05/2017,06/10/2017,36.88042198,6.899981647,Algeria,DZA
74,3574,04/10/2016,20/12/2016,24.5529057,9.482252969,Algeria,DZA
75,415,04/07/2017,09/05/2018,28.0503408,9.550000772,Algeria,DZA
76,2971,27/05/2017,23/12/2017,23.69394004,5.164738727,Algeria,DZA
77,4652,08/04/2017,26/10/2017,33.6903583,1.009953571,Algeria,DZA
78,4107,18/01/2017,31/08/2017,33.37040367,6.859984089,Algeria,DZA
79,598,17/11/2016,23/09/2017,31.70234011,6.054451862,Algeria,DZA
80,3391,16/01/2017,11/05/2017,36.17041363,1.319960489,Algeria,DZA
81,2452,04/04/2017,06/08/2017,35.40040895,0.14003251,Algeria,DZA
82,3260,31/12/2016,16/08/2017,35.940376,0.089983885,Algeria,DZA
83,815,16/03/2017,08/03/2018,34.84039146,0.14003251,Algeria,DZA
84,3138,27/04/2017,02/11/2017,35.38043601,1.319960489,Algeria,DZA
85,2098,20/11/2016,08/11/2017,36.76037762,5.070015827,Algeria,DZA
86,2223,14/04/2017,21/09/2017,36.4203467,2.829997517,Algeria,DZA
87,590,08/03/2017,03/10/2017,36.38047833,3.900009724,Algeria,DZA
88,1241,02/02/2017,28/06/2017,36.27040753,2.770001179,Algeria,DZA
89,551,24/06/2017,13/04/2018,36.29038047,7.949995075,Algeria,DZA
90,761,10/05/2017,07/10/2017,35.41043418,8.120010537,Algeria,DZA
91,3282,02/01/2017,04/06/2017,27.86999005,-0.289967083,Algeria,DZA
92,375,05/07/2017,14/02/2018,26.69998395,0.166645873,Algeria,DZA
93,3164,20/04/2017,28/01/2018,31.61110537,-2.230003704,Algeria,DZA
94,2027,30/05/2017,27/03/2018,27.67418805,-8.147782025,Algeria,DZA
95,768,08/03/2017,17/12/2017,26.48335634,8.466604369,Algeria,DZA
96,4614,18/08/2016,31/12/2016,25.2799931,3.749993041,Algeria,DZA
97,4839,05/12/2016,28/04/2017,27.21664492,2.466608845,Algeria,DZA
98,1628,07/09/2016,27/06/2017,30.56662132,2.883327595,Algeria,DZA
99,364,07/01/2017,07/12/2017,33.80998924,2.880020303,Algeria,DZA
100,2170,19/01/2017,24/08/2017,33.0999809,6.05998124,Algeria,DZA
101,1599,25/08/2016,03/07/2017,31.96997235,5.340025186,Algeria,DZA
102,2324,21/08/2016,27/11/2016,34.85997683,5.73002722,Algeria,DZA
103,638,12/06/2017,08/01/2018,34.67998781,3.250023558,Algeria,DZA
104,3481,29/09/2016,21/06/2017,36.18002545,5.399969847,Algeria,DZA
105,1871,27/04/2017,27/09/2017,35.56995933,6.170000365,Algeria,DZA
106,2671,30/03/2017,03/11/2017,36.92000612,7.759980834,Algeria,DZA
107,4446,03/05/2017,13/01/2018,36.35998863,6.599948281,Algeria,DZA
108,4067,27/11/2016,12/08/2017,35.71000246,-0.61997278,Algeria,DZA
109,1793,05/11/2016,06/04/2017,22.78500327,5.522804727,Algeria,DZA
110,2552,23/01/2017,02/11/2017,32.48999229,3.669997923,Algeria,DZA
111,2720,12/03/2017,23/09/2017,36.7630648,3.05055253,Algeria,DZA
112,2857,13/02/2017,23/09/2017,-14.2766105,-170.7066451,American Samoa,ASM
113,547,22/07/2016,23/01/2017,42.50000144,1.516485961,Andorra,AND
114,1633,25/01/2017,11/10/2017,-18.01953449,21.42999914,Angola,AGO
115,3259,11/02/2017,21/08/2017,-8.419603659,20.74001542,Angola,AGO
116,505,09/09/2016,31/12/2016,-9.4195943,18.43002722,Angola,AGO
117,2189,20/01/2017,25/04/2017,-9.659579652,20.39001094,Angola,AGO
118,3597,26/03/2017,12/11/2017,-10.59962563,21.31998002,Angola,AGO
119,886,21/03/2017,23/01/2018,-10.14962726,19.2600024,Angola,AGO
120,2961,23/05/2017,25/12/2017,-8.579542217,13.65998246,Angola,AGO
121,1682,18/04/2017,13/03/2018,-8.189591859,15.37000728,Angola,AGO
122,3989,23/01/2017,16/10/2017,-9.299549948,14.90998368,Angola,AGO
123,4201,14/08/2016,04/04/2017,-10.72959186,14.97995357,Angola,AGO
124,1360,12/07/2017,12/01/2018,-9.999610577,14.90001013,Angola,AGO
125,4202,09/05/2017,05/11/2017,-11.35952757,15.1199967,Angola,AGO
126,3719,10/09/2016,20/03/2017,-7.349591452,14.84998734,Angola,AGO
127,3558,07/08/2016,20/06/2017,-6.269605694,14.23999874,Angola,AGO
128,3136,04/10/2016,24/05/2017,-7.229598776,12.86003129,Angola,AGO
129,4174,10/06/2017,12/10/2017,-6.129614239,12.36998368,Angola,AGO
130,1527,20/12/2016,07/12/2017,-5.55962319,12.18999467,Angola,AGO
131,2664,18/01/2017,02/01/2018,-11.31958169,16.19998246,Angola,AGO
132,933,04/11/2016,14/08/2017,-12.01959064,17.46998246,Angola,AGO
133,1585,24/11/2016,26/03/2017,-13.03958006,14.23999874,Angola,AGO
134,4628,02/03/2017,28/10/2017,-15.7895414,20.36003861,Angola,AGO
135,865,03/06/2017,25/05/2018,-15.15960569,19.16998205,Angola,AGO
136,540,26/08/2016,11/08/2017,-17.36954832,22.99998083,Angola,AGO
137,4556,12/07/2017,03/04/2018,-17.06961831,15.73003699,Angola,AGO
138,4077,04/10/2016,25/09/2017,-17.31962889,13.92001827,Angola,AGO
139,3384,18/02/2017,29/01/2018,-15.74959552,14.0800085,Angola,AGO
140,1676,22/10/2016,13/02/2017,-15.1896297,13.69000647,Angola,AGO
141,2643,17/01/2017,30/05/2017,-14.82954832,14.55000565,Angola,AGO
142,1750,09/11/2016,10/02/2017,-10.7095414,22.23000199,Angola,AGO
143,3753,24/11/2016,08/06/2017,-13.69959145,19.86001745,Angola,AGO
144,286,07/05/2017,24/07/2017,-14.09961871,21.44002437,Angola,AGO
145,3539,22/11/2016,06/08/2017,-11.88957273,22.90003861,Angola,AGO
146,3909,01/09/2016,24/11/2016,-7.380028871,20.82998409,Angola,AGO
147,345,04/06/2017,03/09/2017,-7.85498696,13.12502803,Angola,AGO
148,78,04/09/2016,31/01/2017,-9.690017071,14.43001298,Angola,AGO
149,3086,02/06/2017,24/03/2018,-11.21002765,13.8499967,Angola,AGO
150,3647,20/05/2017,07/10/2017,-7.620014222,15.04997514,Angola,AGO
151,3053,08/08/2016,20/03/2017,-12.38003375,16.93998897,Angola,AGO
152,1259,10/12/2016,11/10/2017,-12.37000853,13.54123002,Angola,AGO
153,1372,09/10/2016,04/05/2017,-16.74002602,14.96998002,Angola,AGO
154,4133,01/10/2016,22/05/2017,-11.79004393,19.90001501,Angola,AGO
155,4578,27/01/2017,08/12/2017,-15.80003172,11.85998897,Angola,AGO
156,1313,03/09/2016,23/12/2016,-9.540000388,16.34002559,Angola,AGO
157,1498,07/07/2017,27/04/2018,-12.57826455,13.40723303,Angola,AGO
158,2914,14/09/2016,14/08/2017,-14.91000853,13.49001868,Angola,AGO
159,3356,10/08/2016,24/04/2017,-15.19004311,12.16002234,Angola,AGO
160,4012,22/09/2016,19/09/2017,-14.66661253,17.69999426,Angola,AGO
161,4385,25/08/2016,19/07/2017,-12.74998533,15.76000932,Angola,AGO
162,1077,03/03/2017,08/07/2017,-8.838286114,13.23442704,Angola,AGO
163,1361,28/04/2017,15/08/2017,-62.17388669,-58.86386407,Antarctica,ATA
164,4410,28/10/2016,09/07/2017,-62.49950682,-59.68331852,Antarctica,ATA
165,2033,24/10/2016,03/04/2017,-64.23288939,-56.6500153,Antarctica,ATA
166,4646,15/03/2017,07/10/2017,-74.61919259,164.2190271,Antarctica,ATA
167,2123,10/05/2017,07/10/2017,-67.5647756,-68.12354055,Antarctica,ATA
168,3146,06/03/2017,21/08/2017,-64.76241335,-64.0468756,Antarctica,ATA
169,67,02/04/2017,29/08/2017,-62.18274357,-58.90765233,Antarctica,ATA
170,92,31/03/2017,25/09/2017,-62.22414386,-58.65047599,Antarctica,ATA
171,4414,04/06/2017,05/02/2018,-62.2248534,-58.77159876,Antarctica,ATA
172,2392,20/08/2016,04/04/2017,-62.21631997,-58.9666956,Antarctica,ATA
173,2340,17/03/2017,18/01/2018,-62.19496251,-58.95266582,Antarctica,ATA
174,4316,20/04/2017,15/03/2018,-61.99958901,-57.99998458,Antarctica,ATA
175,4112,10/03/2017,14/07/2017,-77.84693819,166.7491023,Antarctica,ATA
176,1068,15/06/2017,18/04/2018,-77.73228239,166.8694157,Antarctica,ATA
177,3299,15/02/2017,17/10/2017,-69.43406299,76.33929808,Antarctica,ATA
178,3290,21/08/2016,18/05/2017,-78.46628416,106.8000337,Antarctica,ATA
179,1126,15/11/2016,13/09/2017,-68.83286701,90.49999508,Antarctica,ATA
180,4347,13/07/2017,01/10/2017,-66.57552952,93.00628846,Antarctica,ATA
181,4053,29/11/2016,12/06/2017,-67.61452032,62.87500073,Antarctica,ATA
182,2741,09/06/2017,25/12/2017,-68.77767439,78.14073509,Antarctica,ATA
183,1622,15/04/2017,03/11/2017,-74.66630939,124.1670357,Antarctica,ATA
184,4691,19/08/2016,29/04/2017,-66.28608614,110.536214,Antarctica,ATA
185,508,02/07/2017,22/11/2017,-89.98289386,139.2669926,Antarctica,ATA
186,2613,06/12/2016,11/08/2017,-73.0496122,-13.41671106,Antarctica,ATA
187,2746,06/11/2016,22/09/2017,-72.01629026,2.533323119,Antarctica,ATA
188,4103,19/04/2017,21/12/2017,-74.58290363,-11.21669031,Antarctica,ATA
189,3001,06/10/2016,22/02/2017,-71.30123475,-11.8502129,Antarctica,ATA
190,744,06/04/2017,16/09/2017,-70.89039668,-7.838438004,Antarctica,ATA
191,3089,27/02/2017,18/02/2018,-70.7821796,11.7304584,Antarctica,ATA
192,4570,13/07/2017,12/03/2018,-76.09226319,-26.4741567,Antarctica,ATA
193,224,22/03/2017,27/02/2018,-77.86632078,-34.61668319,Antarctica,ATA
194,3755,31/03/2017,21/11/2017,-81.17908472,-40.50153152,Antarctica,ATA
195,3877,13/04/2017,18/02/2018,-75.04959349,-13.41671106,Antarctica,ATA
196,1471,29/09/2016,25/04/2017,-68.1163216,-67.0999976,Antarctica,ATA
197,4471,09/12/2016,21/09/2017,-63.32841823,-57.88959352,Antarctica,ATA
198,2854,31/05/2017,20/10/2017,-63.37532865,-57.02590151,Antarctica,ATA
199,3311,11/08/2016,15/07/2017,-60.7328963,-44.73330082,Antarctica,ATA
200,1534,22/02/2017,18/11/2017,-60.63130815,-45.60070332,Antarctica,ATA
201,219,09/08/2016,30/12/2016,-66.77505091,139.9636836,Antarctica,ATA
202,1332,18/09/2016,19/06/2017,-69.03039249,39.7460831,Antarctica,ATA
203,2896,01/04/2017,24/03/2018,17.11803652,-61.85003382,Antigua and Barbuda,ATG
204,3840,29/04/2017,23/01/2018,-51.65003986,-72.30001612,Argentina,ARG
205,2116,11/03/2017,15/06/2017,-48.76659829,-70.25001205,Argentina,ARG
206,1574,08/10/2016,09/04/2017,-49.97454865,-68.90347273,Argentina,ARG
207,2572,03/08/2016,20/12/2016,-45.68337563,-70.26657434,Argentina,ARG
208,3592,08/03/2017,26/07/2017,-45.03328611,-70.83328394,Argentina,ARG
209,1922,27/12/2016,01/06/2017,-42.05000568,-71.16662276,Argentina,ARG
210,3465,15/06/2017,02/03/2018,-42.77001341,-65.04001998,Argentina,ARG
211,2230,02/03/2017,22/07/2017,-43.25003579,-65.3299506,Argentina,ARG
212,4075,27/07/2016,23/12/2016,-32.82503904,-68.80167668,Argentina,ARG
213,4819,03/04/2017,27/06/2017,-33.06998533,-68.49001612,Argentina,ARG
214,3802,24/07/2016,11/01/2017,-32.59311522,-69.34598454,Argentina,ARG
215,1182,19/06/2017,22/11/2017,-38.94001463,-69.24002202,Argentina,ARG
216,2647,30/01/2017,24/01/2018,-38.87996662,-62.0799681,Argentina,ARG
217,2440,07/01/2017,01/10/2017,-33.33002114,-60.24000289,Argentina,ARG
218,4230,18/02/2017,22/08/2017,-34.15999632,-58.95997766,Argentina,ARG
219,3430,01/09/2016,17/04/2017,-34.65004393,-60.48998763,Argentina,ARG
220,4131,04/02/2017,06/01/2018,-34.66001748,-59.44002588,Argentina,ARG
221,2214,27/04/2017,13/09/2017,-34.88000405,-61.53994938,Argentina,ARG
222,3363,12/06/2017,02/06/2018,-34.89995115,-60.03998926,Argentina,ARG
223,2758,20/08/2016,26/03/2017,-35.42999632,-60.17998071,Argentina,ARG
224,1647,11/03/2017,19/11/2017,-35.44596434,-60.88998906,Argentina,ARG
225,1294,10/05/2017,05/01/2018,-36.33004474,-57.68997766,Argentina,ARG
226,1422,14/07/2017,24/03/2018,-39.48334064,-62.68331629,Argentina,ARG
227,2430,29/08/2016,07/08/2017,-38.3699719,-60.26994938,Argentina,ARG
228,3014,27/07/2016,30/11/2016,-37.46661619,-61.9166189,Argentina,ARG
229,1900,04/04/2017,13/09/2017,-37.83331216,-58.24999516,Argentina,ARG
230,4496,01/05/2017,17/07/2017,-37.80003253,-67.68329533,Argentina,ARG
231,1208,31/12/2016,22/10/2017,-39.01995807,-67.60996647,Argentina,ARG
232,4109,29/12/2016,24/10/2017,-41.03332355,-70.26657434,Argentina,ARG
233,497,12/05/2017,15/11/2017,-41.30002562,-69.58330855,Argentina,ARG
234,1183,26/10/2016,18/07/2017,-40.10004718,-64.43328699,Argentina,ARG
235,1645,04/04/2017,11/12/2017,-39.26660968,-65.68331405,Argentina,ARG
236,1101,24/01/2017,02/01/2018,-31.43003375,-62.08996749,Argentina,ARG
237,3667,03/07/2017,15/05/2018,-31.65999388,-64.4299797,Argentina,ARG
238,618,17/11/2016,05/10/2017,-32.41002562,-63.26002527,Argentina,ARG
239,4970,06/05/2017,30/11/2017,-32.60003986,-62.67995732,Argentina,ARG
240,1588,07/12/2016,23/08/2017,-32.18332111,-64.48328394,Argentina,ARG
241,4654,24/05/2017,15/10/2017,-31.42000853,-64.50000126,Argentina,ARG
242,3966,28/07/2016,27/10/2016,-28.86662433,-66.23330632,Argentina,ARG
243,1990,01/06/2017,02/10/2017,-28.06662148,-67.56658411,Argentina,ARG
244,1952,18/11/2016,08/02/2017,-22.7166638,-65.6999797,Argentina,ARG
245,362,21/03/2017,31/10/2017,-23.19999347,-65.34994938,Argentina,ARG
246,2449,25/03/2017,12/01/2018,-23.41667275,-66.4833169,Argentina,ARG
247,2056,14/06/2017,04/02/2018,-31.34998696,-66.5999506,Argentina,ARG
248,1177,15/01/2017,12/09/2017,-22.03003904,-63.69999841,Argentina,ARG
249,4053,03/10/2016,26/04/2017,-22.55000731,-63.81001754,Argentina,ARG
250,226,09/12/2016,18/09/2017,-25.08334105,-64.18335392,Argentina,ARG
251,3816,26/12/2016,08/12/2017,-24.6666223,-65.04996769,Argentina,ARG
252,1587,23/10/2016,03/09/2017,-26.21665688,-65.28331262,Argentina,ARG
253,4126,13/03/2017,28/02/2018,-26.7900069,-60.45001591,Argentina,ARG
254,3123,17/06/2017,13/09/2017,-26.51658689,-61.16658716,Argentina,ARG
255,4437,05/11/2016,05/05/2017,-27.58329181,-60.7166663,Argentina,ARG
256,2068,21/11/2016,24/02/2017,-23.90000242,-61.84998214,Argentina,ARG
257,1407,10/05/2017,04/11/2017,-25.33329995,-59.68331852,Argentina,ARG
258,3983,08/10/2016,21/05/2017,-22.47998574,-62.29998051,Argentina,ARG
259,4247,21/11/2016,04/09/2017,-28.12000324,-58.76998926,Argentina,ARG
260,4355,12/01/2017,26/05/2017,-27.48996417,-58.80998682,Argentina,ARG
261,1027,11/02/2017,19/05/2017,-32.47999551,-58.23999577,Argentina,ARG
262,4327,24/10/2016,07/03/2017,-32.61001341,-60.17998071,Argentina,ARG
263,1306,31/10/2016,15/06/2017,-33.15003213,-59.34000615,Argentina,ARG
264,309,22/08/2016,13/08/2017,-31.73332273,-60.53334416,Argentina,ARG
265,3012,23/12/2016,09/06/2017,-33.23002724,-60.35002202,Argentina,ARG
266,1622,22/03/2017,12/01/2018,-31.25004474,-61.49997766,Argentina,ARG
267,194,11/12/2016,27/02/2017,-26.20001707,-54.59998539,Argentina,ARG
268,787,13/07/2017,01/03/2018,-30.21558592,-69.1399506,Argentina,ARG
269,159,24/06/2017,24/11/2017,-43.41627887,-67.24998845,Argentina,ARG
270,1208,11/04/2017,26/10/2017,-42.28296303,-69.23330408,Argentina,ARG
271,2775,03/08/2016,19/01/2017,-42.39959674,-66.95000676,Argentina,ARG
272,1016,15/10/2016,29/05/2017,-35.46611815,-69.58330855,Argentina,ARG
273,1518,13/07/2017,07/06/2018,-33.56618244,-69.01667647,Argentina,ARG
274,3245,29/01/2017,17/11/2017,-33.46613686,-67.54999597,Argentina,ARG
275,747,25/05/2017,12/08/2017,-37.38295205,-70.26657434,Argentina,ARG
276,4991,12/12/2016,25/10/2017,-38.51626788,-70.36659408,Argentina,ARG
277,4206,31/07/2016,16/05/2017,-34.08956134,-59.04002446,Argentina,ARG
278,528,25/12/2016,02/12/2017,-37.1828609,-62.73331323,Argentina,ARG
279,3580,05/07/2017,24/01/2018,-37.69957355,-63.16659428,Argentina,ARG
280,2662,09/08/2016,25/04/2017,-37.66551878,-59.80002975,Argentina,ARG
281,3317,15/05/2017,07/12/2017,-36.71622272,-56.67660283,Argentina,ARG
282,4973,26/05/2017,23/12/2017,-35.184895,-59.09467228,Argentina,ARG
283,4436,13/04/2017,08/10/2017,-35.56621539,-58.01662439,Argentina,ARG
284,4007,28/02/2017,13/07/2017,-34.58456989,-60.95887374,Argentina,ARG
285,3401,20/07/2017,07/04/2018,-34.90961465,-57.95996118,Argentina,ARG
286,1866,01/01/2017,25/12/2017,-33.89959878,-60.56998275,Argentina,ARG
287,253,21/09/2016,25/01/2017,-34.57960895,-59.10999435,Argentina,ARG
288,4731,13/02/2017,02/01/2018,-36.7796297,-59.86999964,Argentina,ARG
289,4943,17/01/2017,06/07/2017,-39.88285114,-62.58332239,Argentina,ARG
290,4292,12/07/2017,09/11/2017,-36.21625324,-65.45002079,Argentina,ARG
291,4645,09/08/2016,05/05/2017,-35.65959471,-63.77001998,Argentina,ARG
292,1926,24/01/2017,29/12/2017,-40.73287677,-64.93328231,Argentina,ARG
293,1626,19/03/2017,19/08/2017,-40.58286009,-67.79998071,Argentina,ARG
294,3391,02/11/2016,10/05/2017,-33.68958576,-65.4699679,Argentina,ARG
295,776,23/12/2016,25/06/2017,-32.1796004,-64.12002446,Argentina,ARG
296,2832,30/10/2016,14/09/2017,-27.64959267,-67.03328333,Argentina,ARG
297,1364,28/04/2017,26/03/2018,-22.43290851,-66.16659204,Argentina,ARG
298,1047,07/04/2017,26/06/2017,-24.21962116,-64.87000452,Argentina,ARG
299,1003,21/03/2017,22/01/2018,-23.81954222,-64.78998356,Argentina,ARG
300,2061,16/06/2017,13/10/2017,-29.16552081,-67.49999903,Argentina,ARG
301,3029,17/11/2016,08/03/2017,-30.34958291,-66.3166604,Argentina,ARG
302,2578,26/01/2017,05/10/2017,-23.59960732,-62.60003972,Argentina,ARG
303,2430,02/12/2016,09/10/2017,-26.08291828,-65.96660425,Argentina,ARG
304,3466,17/05/2017,22/01/2018,-24.89963133,-65.48330042,Argentina,ARG
305,610,23/12/2016,06/10/2017,-24.18293089,-66.35001754,Argentina,ARG
306,2125,04/12/2016,13/06/2017,-28.46613198,-62.83330713,Argentina,ARG
307,343,19/12/2016,25/07/2017,-28.64958331,-65.14998743,Argentina,ARG
308,3525,21/08/2016,17/05/2017,-25.79962807,-62.86658675,Argentina,ARG
309,3368,19/05/2017,08/08/2017,-25.9495414,-60.61664657,Argentina,ARG
310,3295,19/07/2017,03/05/2018,-27.21628579,-61.19999597,Argentina,ARG
311,4834,12/07/2017,18/02/2018,-24.69959186,-60.60000676,Argentina,ARG
312,1814,03/09/2016,26/08/2017,-29.1795768,-58.0799797,Argentina,ARG
313,882,18/06/2017,24/03/2018,-31.38957111,-58.02998275,Argentina,ARG
314,750,27/02/2017,03/02/2018,-30.93290648,-61.56661442,Argentina,ARG
315,2518,22/08/2016,17/03/2017,-30.78288979,-60.58328943,Argentina,ARG
316,1306,21/05/2017,04/11/2017,-29.4661743,-60.21659347,Argentina,ARG
317,2041,25/01/2017,07/05/2017,-29.13952757,-59.65001306,Argentina,ARG
318,1834,01/10/2016,06/05/2017,-33.74958209,-61.97000065,Argentina,ARG
319,1691,05/08/2016,29/07/2017,-42.90003131,-71.31661361,Argentina,ARG
320,3570,16/11/2016,18/10/2017,-38.90001707,-70.06666406,Argentina,ARG
321,4042,09/02/2017,03/09/2017,-36.90003579,-60.3299974,Argentina,ARG
322,3832,31/10/2016,08/03/2017,-37.32001015,-59.15004358,Argentina,ARG
323,352,23/08/2016,30/12/2016,-40.79995278,-63.0000153,Argentina,ARG
324,2683,06/06/2017,24/08/2017,-33.29999713,-66.35001754,Argentina,ARG
325,479,12/06/2017,27/10/2017,-33.13003335,-64.34998458,Argentina,ARG
326,2435,20/12/2016,09/09/2017,-24.1833443,-65.30002995,Argentina,ARG
327,2454,29/03/2017,12/12/2017,-23.13999713,-64.32001225,Argentina,ARG
328,3453,05/02/2017,27/06/2017,-29.13999266,-59.26998458,Argentina,ARG
329,2922,15/11/2016,03/05/2017,-49.30000242,-67.71665247,Argentina,ARG
330,2356,11/06/2017,04/01/2018,-46.60001219,-70.93335535,Argentina,ARG
331,1641,07/07/2017,01/11/2017,-53.79144552,-67.6989952,Argentina,ARG
332,4675,21/02/2017,21/11/2017,-54.79000324,-68.31000126,Argentina,ARG
333,1163,04/12/2016,24/10/2017,-45.60002155,-69.08331323,Argentina,ARG
334,4471,18/06/2017,19/09/2017,-34.60002114,-68.33333317,Argentina,ARG
335,740,16/06/2017,16/06/2018,-38.55998615,-58.74999048,Argentina,ARG
336,1260,03/01/2017,05/07/2017,-38.96657632,-64.08328251,Argentina,ARG
337,3997,11/09/2016,05/01/2017,-28.47000771,-65.78000065,Argentina,ARG
338,4602,08/03/2017,11/02/2018,-29.40995034,-66.84996118,Argentina,ARG
